模拟合同清单
说明：以下文件均为系统演示、测试、培训用途的虚构合同，不代表真实交易。

MNHT-2026-001 | 货物买卖 | 星期八公司 - 小雨伞公司 | DOCX | 01-货物买卖-办公电子设备买卖合同-星期八公司与小雨伞公司.docx
MNHT-2026-002 | 软件开发 | 月亮口袋公司 - 绿泡泡公司 | DOCX | 02-软件开发-企业合同管理系统定制开发合同-月亮口袋公司与绿泡泡公司.docx
MNHT-2026-003 | 云服务 | 小橘灯公司 - 柠檬集市公司 | DOCX | 03-云服务-云服务资源订阅与托管合同-小橘灯公司与柠檬集市公司.docx
MNHT-2026-004 | 物流配送 | 云朵仓公司 - 冒号工坊公司 | DOCX | 04-物流配送-城市同城配送服务合同-云朵仓公司与冒号工坊公司.docx
MNHT-2026-005 | 仓储服务 | 半糖星球公司 - 蓝色便签公司 | PDF | 05-仓储服务-仓储保管与库存管理合同-半糖星球公司与蓝色便签公司.pdf
MNHT-2026-006 | 房屋租赁 | 冒号工坊公司 - 月亮口袋公司 | DOCX | 06-房屋租赁-办公场地租赁合同-冒号工坊公司与月亮口袋公司.docx
MNHT-2026-007 | 装修工程 | 小雨伞公司 - 半糖星球公司 | DOCX | 07-装修工程-展厅装修工程施工合同-小雨伞公司与半糖星球公司.docx
MNHT-2026-008 | 广告营销 | 柠檬集市公司 - 小橘灯公司 | PDF | 08-广告营销-短视频广告投放与效果优化合同-柠檬集市公司与小橘灯公司.pdf
MNHT-2026-009 | 设计服务 | 蓝色便签公司 - 星期八公司 | DOCX | 09-设计服务-品牌视觉设计服务合同-蓝色便签公司与星期八公司.docx
MNHT-2026-010 | 数据服务 | 绿泡泡公司 - 云朵仓公司 | DOCX | 10-数据服务-数据标注与质检服务合同-绿泡泡公司与云朵仓公司.docx
MNHT-2026-011 | 劳务外包 | 星期八公司 - 小雨伞公司 | DOCX | 11-劳务外包-客服外包服务合同-星期八公司与小雨伞公司.docx
MNHT-2026-012 | 技术服务 | 月亮口袋公司 - 绿泡泡公司 | PDF | 12-技术服务-信息安全技术服务合同-月亮口袋公司与绿泡泡公司.pdf
MNHT-2026-013 | 技术开发 | 小橘灯公司 - 柠檬集市公司 | DOCX | 13-技术开发-智能客服插件技术开发合同-小橘灯公司与柠檬集市公司.docx
MNHT-2026-014 | 知识产权许可 | 云朵仓公司 - 冒号工坊公司 | PDF | 14-知识产权许可-商标与插画授权使用合同-云朵仓公司与冒号工坊公司.pdf
MNHT-2026-015 | 委托运营 | 半糖星球公司 - 蓝色便签公司 | PDF | 15-委托运营-线上店铺代运营合同-半糖星球公司与蓝色便签公司.pdf
MNHT-2026-016 | 物业服务 | 冒号工坊公司 - 月亮口袋公司 | DOCX | 16-物业服务-园区物业综合服务合同-冒号工坊公司与月亮口袋公司.docx
MNHT-2026-017 | 培训服务 | 小雨伞公司 - 半糖星球公司 | DOCX | 17-培训服务-员工培训课程采购合同-小雨伞公司与半糖星球公司.docx
MNHT-2026-018 | 咨询服务 | 柠檬集市公司 - 小橘灯公司 | PDF | 18-咨询服务-市场调研咨询服务合同-柠檬集市公司与小橘灯公司.pdf
MNHT-2026-019 | 活动承办 | 蓝色便签公司 - 星期八公司 | PDF | 19-活动承办-新品发布会活动承办合同-蓝色便签公司与星期八公司.pdf
MNHT-2026-020 | 餐饮供应 | 绿泡泡公司 - 云朵仓公司 | DOCX | 20-餐饮供应-员工餐饮供应服务合同-绿泡泡公司与云朵仓公司.docx
MNHT-2026-021 | 印刷制作 | 星期八公司 - 小雨伞公司 | DOCX | 21-印刷制作-宣传物料印刷制作合同-星期八公司与小雨伞公司.docx
MNHT-2026-022 | 保洁服务 | 月亮口袋公司 - 绿泡泡公司 | PDF | 22-保洁服务-办公区保洁服务合同-月亮口袋公司与绿泡泡公司.pdf
MNHT-2026-023 | 维修保养 | 小橘灯公司 - 柠檬集市公司 | PDF | 23-维修保养-空调与弱电系统维修保养合同-小橘灯公司与柠檬集市公司.pdf
MNHT-2026-024 | 安防工程 | 云朵仓公司 - 冒号工坊公司 | PDF | 24-安防工程-安防监控系统采购安装合同-云朵仓公司与冒号工坊公司.pdf
MNHT-2026-025 | 供应链采购 | 半糖星球公司 - 蓝色便签公司 | DOCX | 25-供应链采购-原材料供应链采购合同-半糖星球公司与蓝色便签公司.docx
MNHT-2026-026 | 跨境电商 | 冒号工坊公司 - 月亮口袋公司 | DOCX | 26-跨境电商-跨境电商代运营服务合同-冒号工坊公司与月亮口袋公司.docx
MNHT-2026-027 | 运维服务 | 小雨伞公司 - 半糖星球公司 | PDF | 27-运维服务-移动应用运维支持合同-小雨伞公司与半糖星球公司.pdf
MNHT-2026-028 | 环保回收 | 柠檬集市公司 - 小橘灯公司 | PDF | 28-环保回收-旧设备环保回收处理合同-柠檬集市公司与小橘灯公司.pdf
MNHT-2026-029 | 联合营销 | 蓝色便签公司 - 星期八公司 | PDF | 29-联合营销-联合会员营销合作合同-蓝色便签公司与星期八公司.pdf
MNHT-2026-030 | 设备租赁 | 绿泡泡公司 - 云朵仓公司 | PDF | 30-设备租赁-会议设备短期租赁合同-绿泡泡公司与云朵仓公司.pdf
